numero_obra,nombre_obra,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,renglon_numero,renglon_descripcion,provincia_id,provincia_nombre,departamento_id,departamento_nombre,localidad_id,localidad_nombre
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,159,LA RIOJA,94117,ARAUCO,12645,AIMOGASTA
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,159,LA RIOJA,94185,CHAMICAL,12757,CHAMICAL
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,159,LA RIOJA,94492,ROSARIO VERA PEÑALOZA,12824,CHEPES
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,169,SANTIAGO DEL ESTERO,94306,GENERAL TABOADA,16746,AÑATUYA
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,169,SANTIAGO DEL ESTERO,94166,CAPITAL,17175,SANTIAGO DEL ESTERO
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,169,SANTIAGO DEL ESTERO,94416,MORENO,17392,QUIMILI
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,169,SANTIAGO DEL ESTERO,94129,BANDA,17111,LA BANDA
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,169,SANTIAGO DEL ESTERO,94225,COPO,16856,MONTE QUEMADO
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,169,SANTIAGO DEL ESTERO,94425,OJO DE AGUA,17446,VILLA OJO DE AGUA
63-0002-OBR22,Edificios de la Jefatura Regional Noroeste,63/000,63/000 - Dirección de Contrataciones - ANSES II,850,850 - Administración Nacional de la Seguridad Social,11788,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,159,LA RIOJA,94191,CHILECITO,12761,CHILECITO
14-0003-OBR22,CONSTRUCION REMODELACIÓN DE CUBIERTAS DE CUATRO (4) GALPONES DEL CENTRO ATÓMICO EZEIZA - GAATN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,11802,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,148,BUENOS AIRES,94254,EZEIZA,4864,JOSE MARIA EZEIZA
46-0021-OBR22,"Reciclado del paquete estructural existente, restitución de base y carpeta de concreto asfáltico en caliente.",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11776,4.2.2-10008.13,"OBRAS VIALIDAD NACIONAL; TIPO: CONSTRUCCION Y RECONSTRUCCION, DESCRIPCION: PAVIMENTACION DE RUTA",168,SANTA FE,94613,9 DE julio,16034,SAN BERNARDO
46/16-0022-OBR22,"OBRA DE CONSERVACION MEJORATIVA R.N. Nº 89 -CONSTRUCCIÓN, REFACCIÓN Y AMPLIACIÓN DE ALCANTARILLAS",46/16,46/16 - 16° Santiago del Estero - DNV,604,604 - Dirección Nacional de Vialidad,11836,4.2.2-10008.24,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANT. DE PUENTES/ALCANTARILLAS",169,SANTIAGO DEL ESTERO,94416,MORENO,17392,QUIMILI
46/18-0025-OBR22,OBRA DE CONSERVACIÓN MEJORATIVA-RUTA NACIONAL Nº 89–GRAL. PINEDO–LIM. C/ SANTIAGO DEL ESTERO-CHACO,46/18,46/18 - 18° Chaco - DNV,604,604 - Dirección Nacional de Vialidad,11834,4.2.2-10008.25,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: BACHEO Y SELLADO",150,CHACO,94606,12 DE octubre,8228,GENERAL PINEDO
46/18-0025-OBR22,OBRA DE CONSERVACIÓN MEJORATIVA-RUTA NACIONAL Nº 89–GRAL. PINEDO–LIM. C/ SANTIAGO DEL ESTERO-CHACO,46/18,46/18 - 18° Chaco - DNV,604,604 - Dirección Nacional de Vialidad,11834,4.2.2-10008.25,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: BACHEO Y SELLADO",150,CHACO,94606,12 DE octubre,8226,GANCEDO
34-0001-OBR22,"Adecuación edilicia, redes, inst. eléctrica e inst. de aire acond. del piso 4 y 5 de Alsina 470",34/000,34/000 - Dirección General de Administración - MHA,357,357 - Ministerio de Economía,11847,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,152,CIUDAD DE BUENOS AIRES,94203,COMUNA 1,8587,MONSERRAT
46/18-0026-OBR22,CONSERVACIÓN MEJORATIVA - ILUMINACIÓN - TR: RN11 PCIA DEL CHACO - EMP RP90 - SEC: KM1.041,46/18,46/18 - 18° Chaco - DNV,604,604 - Dirección Nacional de Vialidad,11843,4.2.2-10008.48,"OBRAS VIALIDAD NACIONAL; TIPO: OBRAS ESPECIALES, DESCRIPCION: PUESTO CONTROL DE PESO Y DIMEN",150,CHACO,94605,1° DE MAYO,7917,MARGARITA BELEN
46/18-0027-OBR22,RN N89-EMP. RP5. ILUMINACIÓN DE INTERSECCIÓN CANALIZADA,46/18,46/18 - 18° Chaco - DNV,604,604 - Dirección Nacional de Vialidad,11844,4.2.2-10008.39,"OBRAS VIALIDAD NACIONAL; TIPO: OBRA DE SEGURIDAD, DESCRIPCION: ADECUACION DE INTERSECCION",150,CHACO,94606,12 DE octubre,8225,PINEDO VIEJO
14-0004-OBR22,PUESTA EN VALOR BAÑOS Y VESTUARIOS DE LA PLANTA DE PRODUCCIÓN DE RADIOISÓTOPOS DEL CAE - GAATN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,11845,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,148,BUENOS AIRES,94254,EZEIZA,4864,JOSE MARIA EZEIZA
46/13-0028-OBR22,"OBRA DE CONSERVACIÓN MEJORATIVA RN N° 25 - PROVINCIA DEL CHUBUT KM. 143,57 - KM. 165,22.",46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,11841,4.2.2-10008.17,"OBRAS VIALIDAD NACIONAL; TIPO: REHABILITACION DE RUTA, DESCRIPCION: REPAVIMENTACION",151,CHUBUT,94398,MARTIRES,8533,ALTO DE LAS PLUMAS
46-0029-OBR22,"OBRAS DE SEGURIDAD VIAL, SEÑALAMIENTO HORIZONTAL CON MATERIAL TERMOPLÁSTICO, de la Red Vial Nacional",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11872,4.2.2-10008.32,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: SEÑALAMIENTO HORIZONTAL/VERTIC",152,CIUDAD DE BUENOS AIRES,94196,CIUDAD DE BUENOS AIRES,8585,CIUDAD DE BUENOS AIRES
46/3-0032-OBR22,OBRA DE CONSERVACIÓN MEJORATIVA ACCESO NORTE A SAN MIGUEL DE TUCUMAN – EX RUTA NACIONAL Nº 9. PROVIN,46/03,46/03 - 3° Tucumán - DNV,604,604 - Dirección Nacional de Vialidad,11873,4.2.2-10008.13,"OBRAS VIALIDAD NACIONAL; TIPO: CONSTRUCCION Y RECONSTRUCCION, DESCRIPCION: PAVIMENTACION DE RUTA",171,TUCUMAN,94160,CAPITAL,18204,SAN MIGUEL DE TUCUMAN
46-0033-OBR22,VIALIDAD,46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11815,4.2.2-10008.34,"OBRAS VIALIDAD NACIONAL; TIPO: REHABIL. Y MANT. INTEGRADO, DESCRIPCION: MALLA CREMA",149,CATAMARCA,94351,LA PAZ,7534,RECREO
46-0033-OBR22,VIALIDAD,46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11815,4.2.2-10008.34,"OBRAS VIALIDAD NACIONAL; TIPO: REHABIL. Y MANT. INTEGRADO, DESCRIPCION: MALLA CREMA",149,CATAMARCA,94351,LA PAZ,7535,SAN ANTONIO
46-0033-OBR22,VIALIDAD,46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11815,4.2.2-10008.34,"OBRAS VIALIDAD NACIONAL; TIPO: REHABIL. Y MANT. INTEGRADO, DESCRIPCION: MALLA CREMA",149,CATAMARCA,94545,SANTA ROSA,7638,LAVALLE
14-0005-OBR22,CONSTRUCCION EDIFICIO N° 17 - SEGUNDA ETAPA - GAEN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,11850,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,148,BUENOS AIRES,94303,GENERAL SAN MARTIN,6486,VILLA MAIPU
14-0006-OBR22,CAMBIO DE CUBIERTA EN PABELLÓN 8 CAB - GAEN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,11801,4.2.1-7003.2,CONST. CIVIL PRIVADA; DESCRIPCION: TECHO METALICO,163,RIO NEGRO,94131,BARILOCHE,13884,SAN CARLOS DE BARILOCHE
46/16-0035-OBR22,"BACHEO CON MEZCLA EN FRIO (incluido riego de liga); SELLADO DE GRIETAS Y FISURAS, RECONSTRUCCION DE BANQUINA CON REPOSICION PARCIAL DE MATERIAL GRANULAR. TRAMO: RIO SALADILLO – SANTIAGO DEL ESTERO",46/16,46/16 - 16° Santiago del Estero - DNV,604,604 - Dirección Nacional de Vialidad,11886,4.2.2-10008.25,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: BACHEO Y SELLADO",169,SANTIAGO DEL ESTERO,94380,LORETO,17305,VILLA SAN MARTIN
46/16-0035-OBR22,"BACHEO CON MEZCLA EN FRIO (incluido riego de liga); SELLADO DE GRIETAS Y FISURAS, RECONSTRUCCION DE BANQUINA CON REPOSICION PARCIAL DE MATERIAL GRANULAR. TRAMO: RIO SALADILLO – SANTIAGO DEL ESTERO",46/16,46/16 - 16° Santiago del Estero - DNV,604,604 - Dirección Nacional de Vialidad,11886,4.2.2-10008.25,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: BACHEO Y SELLADO",169,SANTIAGO DEL ESTERO,94553,SILIPICA,17778,ARRAGA
46/16-0035-OBR22,"BACHEO CON MEZCLA EN FRIO (incluido riego de liga); SELLADO DE GRIETAS Y FISURAS, RECONSTRUCCION DE BANQUINA CON REPOSICION PARCIAL DE MATERIAL GRANULAR. TRAMO: RIO SALADILLO – SANTIAGO DEL ESTERO",46/16,46/16 - 16° Santiago del Estero - DNV,604,604 - Dirección Nacional de Vialidad,11886,4.2.2-10008.25,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: BACHEO Y SELLADO",169,SANTIAGO DEL ESTERO,94166,CAPITAL,17167,EL ZANJON
46-0036-OBR22,RUTA NACIONAL N°9/34 – TRAMO: ROSARIO DE LA FRONTERA – LTE. SALTA/JUJUY.,46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11893,4.2.2-10008.1,"OBRAS VIALIDAD NACIONAL; TIPO: AUTOPISTAS Y AUTOVIAS, DESCRIPCION: CONSTR. 2ª CALZADA P/AUTOPISTA",164,SALTA,94490,ROSARIO DE LA FRONTERA,14331,ROSARIO DE LA FRONTERA
46-0037-OBR22,OBRA RUTA NACIONAL N°3. AUTOPISTA FIN VARIANTE LAS FLORES – INTERSECCIÓN RP N° 30,46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11867,4.2.2-10008.1,"OBRAS VIALIDAD NACIONAL; TIPO: AUTOPISTAS Y AUTOVIAS, DESCRIPCION: CONSTR. 2ª CALZADA P/AUTOPISTA",148,BUENOS AIRES,94364,LAS FLORES,6274,LAS FLORES
46/3-0038-OBR22,"OBRA: CONSTRUCCIÓN DE UMBRALES SOTERRADOS Y PROTECCIONES  RUTA NACIONAL Nº 65 – PROVINCIA DE TUCUMÁN  TRAMO: EMPALME R.N. 38 / LÍMITE TUCUMÁN - CATAMARCA  SECCIÓN: RÍO COCHUNA (KM 35,7)",46/03,46/03 - 3° Tucumán - DNV,604,604 - Dirección Nacional de Vialidad,11892,4.2.2-10008.24,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANT. DE PUENTES/ALCANTARILLAS",171,TUCUMAN,94189,CHICLIGASTA,17940,COCHUNA
46/3-0038-OBR22,"OBRA: CONSTRUCCIÓN DE UMBRALES SOTERRADOS Y PROTECCIONES  RUTA NACIONAL Nº 65 – PROVINCIA DE TUCUMÁN  TRAMO: EMPALME R.N. 38 / LÍMITE TUCUMÁN - CATAMARCA  SECCIÓN: RÍO COCHUNA (KM 35,7)",46/03,46/03 - 3° Tucumán - DNV,604,604 - Dirección Nacional de Vialidad,11900,4.2.2-10008.24,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANT. DE PUENTES/ALCANTARILLAS",171,TUCUMAN,94189,CHICLIGASTA,17940,COCHUNA
46-0039-OBR22,"REPAVIMENTACIÓN AU. EZEIZA - CAÑUELAS TRAMO KM 49,4 - KM 58,856",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11885,4.2.2-10008.17,"OBRAS VIALIDAD NACIONAL; TIPO: REHABILITACION DE RUTA, DESCRIPCION: REPAVIMENTACION",148,BUENOS AIRES,94156,CAÑUELAS,5257,CAÑUELAS
501-0004-OBR22,READECUACION DE LAS OBRAS DE EVACUACION DEL SISTEMA DE LA PICASA A LA CAÑADA DE LAS HORQUETAS,501/000,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,11899,4.2.2-7690.1,OBRA HIDRICA; DESCRIPCION: OBRA HIDRICA,148,BUENOS AIRES,94308,GENERAL VILLEGAS,6544,VILLA SABOYA
46/1-0040-OBR22,"OBRA “SISTEMA DE ILUMINACIÓN R.N. N°33 - KM 282,78 - ACC. TRES LOMAS Y 30 DE AGOSTO”",46/01,46/01 - 19° Bahía Blanca - DNV,604,604 - Dirección Nacional de Vialidad,11927,4.2.2-8181.1,INST. ALUMBRADO PUBLICO; DESCRIPCION: INST.ALUMB.PUBLICO,148,BUENOS AIRES,94576,TRENQUE LAUQUEN,7163,30 DE agosto
46/1-0040-OBR22,"OBRA “SISTEMA DE ILUMINACIÓN R.N. N°33 - KM 282,78 - ACC. TRES LOMAS Y 30 DE AGOSTO”",46/01,46/01 - 19° Bahía Blanca - DNV,604,604 - Dirección Nacional de Vialidad,11927,4.2.2-8181.1,INST. ALUMBRADO PUBLICO; DESCRIPCION: INST.ALUMB.PUBLICO,148,BUENOS AIRES,94579,TRES LOMAS,5426,TRES LOMAS
501-0005-OBR22,Reforma Sanitarios - Hospital POSADAS.,501/000,501/000-Ministerio de Obras Públicas,364,364-Ministerio de Obras Públicas,11935,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,148,BUENOS AIRES,94417,MORON,5916,EL PALOMAR
46-0041-OBR22,"OBRA DE REPAVIMENTACIÓN, RUTA SEGURA Y ENSANCHE DE PUENTES EXISTENTES, RUTA NACIONAL N° 193",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11756,4.2.2-10008.17,"OBRAS VIALIDAD NACIONAL; TIPO: REHABILITACION DE RUTA, DESCRIPCION: REPAVIMENTACION",148,BUENOS AIRES,94603,ZARATE,5527,ZARATE
46/10-0042-OBR22,REPARACIÓN DE MÉNSULAS DE HORMIGÓN DE TRAMOS ISOSTÁTICOS DEL PUENTE S/ RÍO CORRIENTES,46/10,46/10 - 10° Corrientes - DNV,604,604 - Dirección Nacional de Vialidad,11934,4.2.2-10008.45,"OBRAS VIALIDAD NACIONAL; TIPO: PUENTES, DESCRIPCION: REPARACION/MEJORA DE PUENTE",154,CORRIENTES,94251,ESQUINA,10204,ESQUINA
46-0043-OBR22,"OBRA DE REPAVIMENTACIÓN, RUTA NACIONAL N° 9, TRAMO: CAMPANA – ROSARIO",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11884,4.2.2-10008.17,"OBRAS VIALIDAD NACIONAL; TIPO: REHABILITACION DE RUTA, DESCRIPCION: REPAVIMENTACION",148,BUENOS AIRES,94154,CAMPANA,5242,CAMPANA
46-0044-OBR22,"OBRA RUTA NACIONAL N° 5. AUTOPISTA MERCEDES - INICIO VARIANTE SUIPACHA, TRAMO: KM. 104 - KM 124.",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11883,4.2.2-10008.1,"OBRAS VIALIDAD NACIONAL; TIPO: AUTOPISTAS Y AUTOVIAS, DESCRIPCION: CONSTR. 2ª CALZADA P/AUTOPISTA",148,BUENOS AIRES,94403,MERCEDES,6655,MERCEDES
46/4-0045-OBR22,"OBRA POR DELEGACIÓN DE FACULTADES: REPARACIÓN LOSAS H°, RNNº 40, PCIA. MENDOZA",46/04,46/04 - 4° Mendoza - DNV,604,604 - Dirección Nacional de Vialidad,11972,4.2.2-10008.23,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANTENIMIENTO DE RUTINA",160,MENDOZA,94091,LAS HERAS,12936,EL ZAPALLAR
46/4-0045-OBR22,"OBRA POR DELEGACIÓN DE FACULTADES: REPARACIÓN LOSAS H°, RNNº 40, PCIA. MENDOZA",46/04,46/04 - 4° Mendoza - DNV,604,604 - Dirección Nacional de Vialidad,11972,4.2.2-10008.23,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANTENIMIENTO DE RUTINA",160,MENDOZA,94091,LAS HERAS,12934,EL PLUMERILLO
46/4-0045-OBR22,"OBRA POR DELEGACIÓN DE FACULTADES: REPARACIÓN LOSAS H°, RNNº 40, PCIA. MENDOZA",46/04,46/04 - 4° Mendoza - DNV,604,604 - Dirección Nacional de Vialidad,11972,4.2.2-10008.23,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: MANTENIMIENTO DE RUTINA",160,MENDOZA,94091,LAS HERAS,12931,EL ALGARROBAL
46/18-0047-OBR22,DEFENSA MARGEN IZQUIERDO RÍO BERMEJO PTE. LAVALLE,46/18,46/18 - 18° Chaco - DNV,604,604 - Dirección Nacional de Vialidad,11975,4.2.2-10008.45,"OBRAS VIALIDAD NACIONAL; TIPO: PUENTES, DESCRIPCION: REPARACION/MEJORA DE PUENTE",156,FORMOSA,94434,PATIÑO,11351,PUERTO LAVALLE
46-0048-OBR22,"OBRAS DE SEGURIDAD VIAL, SEÑALAMIENTO HORIZONTAL CON MATERIAL TERMOPLÁSTICO, de la Red Vial Nacional",46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11967,4.2.2-10008.32,"OBRAS VIALIDAD NACIONAL; TIPO: MANT Y CONSERVACION MEJORATIVA, DESCRIPCION: SEÑALAMIENTO HORIZONTAL/VERTIC",153,CORDOBA,94165,CAPITAL,8941,CORDOBA
74-0002-OBR22,Construcción de Muelle en Ria Ajo - Parque Nacional Campos del Tuyu,74/00,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,11979,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,148,BUENOS AIRES,94290,GENERAL LAVALLE,5009,GENERAL LAVALLE
46-0049-OBR22,DUPLICACIÓN DE CALZADA RUTA NACIONAL N° 34 - Tramo: VARIANTE DE RAFAELA - EMP. RUTA PROVINCIAL N°13,46/000,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,11924,4.2.2-10008.1,"OBRAS VIALIDAD NACIONAL; TIPO: AUTOPISTAS Y AUTOVIAS, DESCRIPCION: CONSTR. 2ª CALZADA P/AUTOPISTA",168,SANTA FE,94174,CASTELLANOS,16479,RAFAELA
46/3-0051-OBR22,OBRA DE CONSERVACIÓN MEJORATIVA R.N. N° 157 - PROV. DE TUCUMAN - TRAMO: BELLA VISTA - S. M. DE TUCUM,46/03,46/03 - 3° Tucumán - DNV,604,604 - Dirección Nacional de Vialidad,11984,4.2.2-10008.14,"OBRAS VIALIDAD NACIONAL; TIPO: CONSTRUCCION Y RECONSTRUCCION, DESCRIPCION: RECONSTRUCCION TOTAL DE RUTA",171,TUCUMAN,94367,LEALES,18124,BELLA VISTA
